treatment_id,site_id,treatment_date,method,dosage_or_description,outcome,follow_up_required,notes
6fee40e7-2751-586b-a03e-a9cedbfd4046,e2a66259-a7bb-52d9-9aaa-33350adee837,2020-01-15,algaecide application (copper sulfate),0.5 mg/L Cu2+ applied by spray boom across 12 ha,successful,false,Bloom of Microcystis aeruginosa eliminated within 3 days; dissolved oxygen monitored post-application to detect crash; activated carbon added at intake
fdb75595-70d5-56a7-94a6-ca793daaf764,e2a66259-a7bb-52d9-9aaa-33350adee837,2021-02-08,mechanical aeration,Sub-surface diffused air at 2 m3/min; 3 aerator units deployed,partial,true,Stratification disrupted but bloom persisted at low density; DO improved from 3.1 to 6.8 mg/L; continued operation recommended through March
31ef5ffd-a489-520f-b700-69ec16e46bae,e2a66259-a7bb-52d9-9aaa-33350adee837,2022-12-20,clay flocculation,30 g/m2 PAC-modified clay applied by boat over 8 ha bloom area,successful,false,Surface scum cleared within 48 hours; Cylindrospermopsis raciborskii settled to sediment; bottom water quality monitored for toxin release
d94afb5e-30e4-50bf-a15e-d9e4d8309f0c,e2a66259-a7bb-52d9-9aaa-33350adee837,2023-11-05,nutrient reduction,Riparian buffer zone 15 m width established along 2.3 km of inflow catchment,ongoing,true,Catchment management program initiated; quarterly water quality monitoring scheduled; effects on bloom frequency expected over 2-3 growing seasons
a011323d-37c1-5720-ba8b-6091a4ae5a87,a113884d-c740-5822-aff6-d6cd26c56d78,2020-07-12,algaecide application (copper sulfate),0.3 mg/L Cu2+; boat application targeting northern bay scum,partial,true,Anabaena flos-aquae reduced by ~60%; southern bay bloom persisted; second treatment applied 3 weeks later; DO crash monitored; recreational closure maintained 5 days
a1c5f761-a504-5e86-8313-98849f3ca9b7,a113884d-c740-5822-aff6-d6cd26c56d78,2021-08-03,manual removal (skimming),Boom and skimmer vessel operated 3 days; approximately 4.2 tonnes wet biomass removed,successful,false,Surface scum cleared from recreational swimming area; rapid cosmetic result; underlying nutrient conditions not addressed; repeat treatment likely next season
b76416b8-a58b-5abe-918d-a0e1194d1b7f,a113884d-c740-5822-aff6-d6cd26c56d78,2022-06-18,mechanical aeration,Surface aerators at 1.5 kW/ha; 4 units installed at 100 m spacing,successful,false,Thermal stratification disrupted; internal phosphorus loading reduced; Microcystis concentrations declined to below WHO alert level 1 within 6 weeks
3d190a7b-5e99-575c-9ab2-d08a149680b7,a113884d-c740-5822-aff6-d6cd26c56d78,2024-07-25,barley straw application,40 g/m2 straw in mesh bales deployed around lake perimeter,unsuccessful,true,Dense Microcystis bloom unresponsive; inhibitory compounds insufficient against established cyanobacterial bloom; algaecide treatment initiated as follow-up
6f117be9-c3f1-51cc-be3d-46f2d5c2a4cb,351b1a48-d61e-5e1b-8864-74e494879dc9,2020-02-14,manual removal (harvesting),Mechanical harvester deployed 2 days in slow-flowing reach 3.5 km section,partial,true,Dolichospermum circinale mats reduced in target reach; blooms re-established within 2 weeks post-treatment; flow augmentation from upstream dam recommended
4c319be5-7999-5e0f-a697-e75995bd3191,351b1a48-d61e-5e1b-8864-74e494879dc9,2021-01-29,nutrient reduction,Constructed wetland (3.5% catchment area) installed to intercept agricultural runoff,ongoing,true,Wetland operational since January 2021; phosphate readings at inflow gauge declining gradually; full bloom response expected after 2 wet seasons
03fe3a7c-ee13-5ae4-ab35-bf642dd1cb14,351b1a48-d61e-5e1b-8864-74e494879dc9,2023-02-07,algaecide application (copper sulfate),0.8 mg/L Cu2+ applied in weir pool during low-flow period,successful,false,Planktothrix agardhii ribbon bloom eliminated; careful dosing in soft water (pH 7.2) to limit fish toxicity; post-treatment DO and fish mortality monitoring clear
c8138b72-9eae-5d47-8d79-de1f1c503210,351b1a48-d61e-5e1b-8864-74e494879dc9,2024-01-11,mechanical aeration,Destratification diffuser system installed in weir pool; 1.8 m3/min,partial,true,Weir pool destratified successfully; bloom density reduced but not eliminated; nutrient reduction measures identified as essential co-intervention
