measurement_id,site_id,recorded_at,ph,dissolved_oxygen_mgl,turbidity_ntu,chlorophyll_a_ugl,nitrate_mgl,phosphate_mgl,algae_cell_count_cells_ml,dominant_species_id,notes
b50daf36-0f89-5d4b-97e7-16aedab8803f,e10104b9-374c-53ba-b755-997b9f7a62c5,2021-12-12T09:00:00,9.6,11.95,64.6,153.81,0.124,0.115,30753,ca560248-021f-5df5-a733-fe7977306070,pH elevated to 9.6; intense photosynthetic activity driving CO2 depletion.
59819d14-6759-5814-9172-eb5812946104,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2022-01-27T08:45:00,8.69,2.55,23.6,163.35,0.163,0.0603,49060,5680fb2c-596c-5cae-9da2-9a2830c88c15,pH elevated to 8.69; intense photosynthetic activity driving CO2 depletion.
2bf0a109-3ce8-5ab8-8de9-93d71f2a13ff,eca073c0-5e52-579f-bcec-8c21817761a0,2024-07-05T07:00:00,7.1,8.98,3.3,8.1,0.617,0.0248,1573,,Parameters within seasonal baseline; no intervention required.
14bbc406-3e2e-5049-a81f-772540e8bf2a,b2f34044-e3f5-594a-92f1-c7f14516de86,2022-07-22T09:00:00,7.02,10.45,1.7,2.64,1.913,0.0364,1765,,"Fortnightly grab sample; weather overcast, light wind."
778987ba-701f-58ac-b3f1-21d733db84c6,5a50eb3d-6685-51a0-8ed5-93d22c90f50d,2024-05-16T10:00:00,7.4,10.17,4.8,5.83,0.441,0.0165,1580,,Parameters within seasonal baseline; no intervention required.
79d840d7-bba1-5a79-91e8-6cab30c3faed,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2023-05-09T10:30:00,7.22,10.37,6.0,5.45,1.549,0.0137,807,,Routine monitoring sample; all parameters within normal range.
6464bcdd-9cd4-568b-88ee-11126f9db26e,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2023-12-28T09:00:00,7.76,9.26,7.1,6.7,1.037,0.0108,532,,No odour detected; water colour normal.
01df024f-3cc9-5321-8b81-928e69f72b9a,e2a66259-a7bb-52d9-9aaa-33350adee837,2020-05-20T07:15:00,7.52,9.6,3.4,4.59,0.845,0.0402,1754,,No odour detected; water colour normal.
31351cc5-1c26-5e3a-bb02-07846ad9e54a,e2a66259-a7bb-52d9-9aaa-33350adee837,2021-06-18T09:30:00,7.38,9.61,1.7,2.82,0.863,0.011,676,,No odour detected; water colour normal.
75bc79ae-0a23-5d62-8287-a5f14c9580b5,b2f34044-e3f5-594a-92f1-c7f14516de86,2023-05-15T07:30:00,7.38,9.22,4.7,4.34,0.584,0.0088,865,,Parameters within seasonal baseline; no intervention required.
d25a3b00-2512-545c-ba09-330219806a62,e2a66259-a7bb-52d9-9aaa-33350adee837,2024-07-25T08:00:00,7.67,8.4,4.4,5.87,0.645,0.0362,1304,,Parameters within seasonal baseline; no intervention required.
b29389e3-ea9d-5700-aea1-1a8bc2f08b12,bcc87cef-0c77-5c30-a67c-77e013a3936e,2022-06-24T09:15:00,7.56,8.99,3.8,4.99,0.894,0.0089,1005,,Water clarity good; no visible algal growth observed at surface.
c16c6d06-775d-54ef-9f9e-95fa935756af,aba731cc-dbfa-53d8-b97d-8a5745c8ba9a,2020-12-05T07:15:00,7.23,9.17,5.6,1.83,0.543,0.0285,1422,,No odour detected; water colour normal.
7b2fb369-7766-5062-985e-4c1574d6950a,5a50eb3d-6685-51a0-8ed5-93d22c90f50d,2020-07-25T08:15:00,7.02,8.95,4.8,8.81,1.239,0.0185,405,,"Fortnightly grab sample; weather overcast, light wind."
eda88e7f-8da7-5c2d-b381-10581b245531,bcc87cef-0c77-5c30-a67c-77e013a3936e,2020-01-10T07:30:00,8.83,12.87,66.9,215.9,0.037,0.0805,175139,04762f8c-7329-5da8-8726-bd42e76c1009,Cell count 175139 cells/mL; DO crash risk overnight; aeration deployed.
71656072-aba9-5af0-ae4c-6cdd02e2cbb1,ab224cb4-5f16-5681-bee5-02bc215256d6,2020-06-10T07:45:00,7.07,9.47,5.9,5.63,0.764,0.0099,1183,,Parameters within seasonal baseline; no intervention required.
a80223da-7cc4-584c-99ee-fc89bec469b6,bcc87cef-0c77-5c30-a67c-77e013a3936e,2021-02-16T09:30:00,9.32,14.92,42.3,69.7,0.031,0.0584,146943,ca560248-021f-5df5-a733-fe7977306070,Cell count 146943 cells/mL; DO crash risk overnight; aeration deployed.
63ade8d2-ac6e-5a09-8db7-1af2a375131e,86ad11ee-e67c-5f6f-afff-13708776a73c,2020-02-27T10:15:00,10.17,16.03,64.4,229.01,0.035,0.0571,141031,f8404ef1-6e70-538f-8e45-d49f7e2c8fec,Dense Planktothrix agardhii bloom; strong musty odour; recreational advisory in effect.
fa764bf7-9bd2-52c0-912b-26dcf3468298,eca073c0-5e52-579f-bcec-8c21817761a0,2023-07-28T09:00:00,7.59,7.54,5.1,4.64,1.477,0.0329,1397,,"Fortnightly grab sample; weather overcast, light wind."
54a95343-2f34-5e69-85e7-ebd64d84cd9a,86ad11ee-e67c-5f6f-afff-13708776a73c,2024-05-25T08:45:00,7.45,8.97,5.1,1.74,0.755,0.0336,827,,"Fortnightly grab sample; weather overcast, light wind."
fd021e95-978b-594d-87cb-ce01dbf0d85c,772a0b2b-7df0-558a-9e21-d4f42aaaff10,2024-02-18T07:30:00,8.6,14.01,84.0,92.51,0.193,0.0188,68712,139c6e40-31aa-5666-988e-8b9c18d883be,pH elevated to 8.6; intense photosynthetic activity driving CO2 depletion.
bf40e688-044d-5c09-86dc-7643908807c9,eca073c0-5e52-579f-bcec-8c21817761a0,2024-12-08T10:00:00,9.55,13.14,81.7,224.87,0.134,0.0611,203783,1e358323-30e0-5e1b-a5a2-719bd0c1f279,Dense Microcystis aeruginosa bloom; strong musty odour; recreational advisory in effect.
21cd8446-d3d3-5004-9582-7a3bfb9efbc0,a8948238-32f6-5d28-bf54-0805f1c4affa,2023-02-16T10:00:00,10.03,2.02,29.5,218.57,0.125,0.0883,119851,e73c07b2-f9dc-5b5f-82c0-7757642fa580,Visible surface scum across the inlet; algaecide application being considered.
07055c75-d76a-5714-b9cc-1a8a30499950,5ed1bbc9-c108-56e0-91b0-3b8effae2539,2022-05-28T07:30:00,7.57,10.06,3.7,7.3,0.827,0.0081,1686,,No odour detected; water colour normal.
286c722f-0bf8-5d5f-a6d3-7c642e04068c,b2f34044-e3f5-594a-92f1-c7f14516de86,2024-01-12T07:45:00,9.94,3.56,59.3,156.86,0.076,0.0473,107311,f8404ef1-6e70-538f-8e45-d49f7e2c8fec,Dense Planktothrix agardhii bloom; strong musty odour; recreational advisory in effect.
abc62b1c-fb6f-5b55-ba25-467ab8927606,eca073c0-5e52-579f-bcec-8c21817761a0,2022-07-26T10:00:00,7.38,9.7,3.1,3.36,1.596,0.0145,470,,"Fortnightly grab sample; weather overcast, light wind."
082af3d1-5e2d-5d9b-acac-07cc6d1da5f0,a9c590d5-ecfb-5d7b-b134-ebbae6ac853c,2020-12-22T10:45:00,9.81,14.01,51.4,93.76,0.056,0.0765,85536,9e0fb491-3df2-50f7-8412-29e49ab46b3a,Active bloom confirmed; site closed to recreational use; water supply intake protected.
d1ad71cb-ff68-51ab-accd-dd4f2c6005e3,dd6bde54-fca1-5c41-913c-cb3783e6199c,2024-06-21T08:15:00,7.23,10.23,1.7,1.99,0.645,0.0141,860,,Water clarity good; no visible algal growth observed at surface.
96f10af6-8421-588a-9d58-4bc4c8d9f97b,b2d06226-66a9-50c0-a5ba-58ae32da68f7,2020-02-06T09:15:00,6.94,9.14,2.4,8.11,1.985,0.0434,1273,,Routine monitoring sample; all parameters within normal range.
07a1c97e-4ed9-56e8-ae0d-3c6e23f5effb,28fc10d6-50dd-5ec3-87d9-0f145db4d4d5,2020-06-01T10:00:00,9.0,11.93,82.3,247.14,0.083,0.0477,74229,e73c07b2-f9dc-5b5f-82c0-7757642fa580,Active bloom confirmed; site closed to recreational use; water supply intake protected.
